api_spot_id,receive,type
1857022,0.0,SPOT
1857094,0.0,SPOT
2007983,0.0,SPOT
3032505,0.0,SPOT
128173,0.0,SPOT
2780006,0.0,SPOT
1957965,0.0,SPOT
3452212,0.0,SPOT
3452165,0.0,SPOT
1955012,0.0,SPOT
126133,0.0,SPOT
127816,0.0,SPOT
3015482,0.0,SPOT
704151,0.0,SPOT
3036201,0.0,SPOT
3453929,0.0,SPOT
127432,0.0,SPOT
129631,0.0,SPOT
2373204,0.0,SPOT
630741,0.0,SPOT
2783851,0.0,SPOT
2605528,0.0,SPOT
128533,0.0,SPOT
1957967,0.0,SPOT
716552,0.0,SPOT
264470,0.0,SPOT
2004721,0.0,SPOT
2500229,0.0,SPOT
2009089,0.0,SPOT
2767580,0.0,SPOT
2767474,0.0,SPOT
3061213,0.0,SPOT
3061214,0.0,SPOT
2767585,0.0,SPOT
2767445,0.0,SPOT
562010,0.0,SPOT
1622544,0.0,SPOT
2614455,0.0,SPOT
128567,0.0,SPOT
2756064,0.0,SPOT
1621219,0.0,SPOT
128637,0.0,SPOT
1621597,0.0,SPOT
319571,0.0,SPOT
128116,0.0,SPOT
250268,0.0,SPOT
128676,0.0,SPOT
128639,0.0,SPOT
250270,0.0,SPOT
2992067,0.0,SPOT
250274,0.0,SPOT
126203,0.0,SPOT
3494364,0.0,SPOT
128635,0.0,SPOT
128704,0.0,SPOT
250263,0.0,SPOT
250261,0.0,SPOT
250265,0.0,SPOT
129521,0.0,SPOT
129520,0.0,SPOT
250283,0.0,SPOT
250264,0.0,SPOT
250262,0.0,SPOT
129522,0.0,SPOT
987844,0.0,SPOT
1621397,0.0,SPOT
2770730,0.0,SPOT
1492402,0.0,SPOT
319577,0.0,SPOT
128526,0.0,SPOT
2603463,0.0,SPOT
250267,0.0,SPOT
319572,0.0,SPOT
1963773,0.0,SPOT
129524,0.0,SPOT
2699663,0.0,SPOT
126210,0.0,SPOT
126218,0.0,SPOT
128634,0.0,SPOT
128692,0.0,SPOT
2002492,0.0,SPOT
1621734,0.0,SPOT
126230,0.0,SPOT
126166,0.0,SPOT
3417731,0.0,SPOT
758416,0.0,SPOT
1621727,0.0,SPOT
128612,0.0,SPOT
126216,0.0,SPOT
126204,0.0,SPOT
126211,0.0,SPOT
1621820,0.0,SPOT
1621809,0.0,SPOT
128681,0.0,SPOT
2609826,0.0,SPOT
2603500,0.0,SPOT
231933,0.0,SPOT
127855,0.0,SPOT
129518,0.0,SPOT
126213,0.0,SPOT
3090417,0.0,SPOT
128638,0.0,SPOT
128117,0.0,SPOT
1621780,0.0,SPOT
250271,0.0,SPOT
128651,0.0,SPOT
250281,0.0,SPOT
319725,0.0,SPOT
128682,0.0,SPOT
250266,0.0,SPOT
319726,0.0,SPOT
231891,0.0,SPOT
1621714,0.0,SPOT
1621742,0.0,SPOT
2756726,0.0,SPOT
126207,0.0,SPOT
2614343,0.0,SPOT
129523,0.0,SPOT
126208,0.0,SPOT
2708718,0.0,SPOT
2756689,0.0,SPOT
319812,0.0,SPOT
1621799,0.0,SPOT
127985,0.0,SPOT
2658227,0.0,SPOT
1621751,0.0,SPOT
1621842,0.0,SPOT
1621759,0.0,SPOT
